INSEE_COM;Annee;NbMaisonsVendues;NbAppartsVendus;PrixMoyen;Prixm2Moyen;SurfaceMoy;;PrixMoyenGen
22001;2018;3;0;80966,67;650,33;123,33;;155613,37
22001;2019;8;0;62237,50;733,38;81,88;;
22001;2020;7;0;148857,14;1378,14;113,43;;
22001;2021;4;0;112343,00;1082,50;104,00;;
22002;2018;15;0;162488,00;1856,60;96,53;;
22002;2019;11;0;176804,55;1611,64;109,18;;
22002;2020;11;0;156954,09;1623,00;105,45;;
22002;2021;18;0;246855,00;2103,89;122,00;;
22003;2018;10;0;203500,00;1742,00;115,20;;
22003;2019;11;0;157089,45;1757,27;88,45;;
22003;2020;8;0;156535,75;1449,00;110,75;;
22003;2021;13;0;226519,23;2033,15;114,23;;
22004;2018;70;1;105038,37;1185,46;92,80;;
22004;2019;71;0;105919,15;1312,37;84,00;;
22004;2020;81;3;122745,83;1301,13;93,60;;
22004;2021;102;6;129208,22;1399,10;96,44;;
22005;2018;20;0;88159,00;840,25;100,50;;
22005;2019;15;0;80994,80;968,20;86,47;;
22005;2020;19;1;91775,00;1081,20;93,30;;
22005;2021;29;0;91662,07;1038,55;90,38;;
22006;2018;4;0;103625,00;960,25;106,75;;
22006;2019;3;0;78166,67;864,67;84,00;;
22006;2020;4;0;119500,00;1305,25;92,25;;
22006;2021;8;0;121798,75;1160,38;103,63;;
22008;2018;11;0;197006,36;1630,27;118,09;;
22008;2019;18;0;214640,00;1890,28;111,11;;
22008;2020;14;0;187848,93;1956,14;98,86;;
22008;2021;22;1;176620,65;1744,00;97,70;;
22009;2018;3;0;60000,00;743,33;87,33;;
22009;2019;4;0;101250,00;1096,75;88,75;;
22009;2020;4;0;106887,50;1185,00;87,00;;
22009;2021;5;0;66550,00;890,60;69,00;;
22011;2018;7;0;163657,14;1212,71;120,00;;
22011;2019;17;0;124952,94;1307,29;95,41;;
22011;2020;9;0;129722,22;1219,67;100,67;;
22011;2021;14;0;175066,21;1549,14;118,07;;
22012;2018;13;0;167456,15;1646,77;105,54;;
22012;2019;9;0;136450,00;1198,00;116,22;;
22012;2020;13;0;135653,85;1420,46;104,38;;
22012;2021;9;0;189222,22;1980,78;97,78;;
22013;2018;22;0;81585,32;866,45;93,18;;
22013;2019;19;1;102757,85;1176,30;89,75;;
22013;2020;32;1;90528,18;1137,48;84,45;;
22013;2021;40;3;103094,40;1196,40;86,91;;
22014;2018;17;0;138470,59;1323,06;106,94;;
22014;2019;15;0;138981,67;1317,47;106,53;;
22014;2020;15;0;144700,00;1411,53;111,20;;
22014;2021;17;0;180264,71;1598,88;117,00;;
22015;2018;12;0;175233,33;1714,00;102,83;;
22015;2019;16;0;147278,75;1404,13;108,19;;
22015;2020;23;0;145080,70;1451,17;102,35;;
22015;2021;28;0;142967,07;1510,68;95,61;;
22016;2018;7;1;288075,00;4014,75;75,38;;
22016;2019;11;1;488949,58;4356,33;103,42;;
22016;2020;11;1;398468,67;3411,67;119,25;;
22016;2021;14;1;502136,00;5424,33;96,93;;
22018;2018;11;0;101704,73;1106,36;97,09;;
22018;2019;8;0;140943,75;1405,13;100,88;;
22018;2020;4;0;116873,75;1183,25;97,75;;
22018;2021;9;0;110761,11;1387,78;83,44;;
22019;2018;7;0;150355,86;1078,71;132,29;;
22019;2019;6;0;136303,33;1180,33;107,67;;
22019;2020;7;0;151042,86;1436,57;106,86;;
22019;2021;9;0;172217,22;1253,22;135,44;;
22020;2018;21;1;96101,73;1143,23;90,41;;
22020;2019;36;3;111129,49;1251,03;96,08;;
22020;2020;39;1;124742,75;1152,90;112,08;;
22020;2021;36;1;117152,70;1177,22;99,46;;
22021;2018;16;0;125948,13;1423,00;88,31;;
22021;2019;18;0;141333,33;1497,78;96,11;;
22021;2020;27;0;153242,59;1586,15;98,26;;
22021;2021;22;0;165169,82;1583,45;106,05;;
22023;2018;12;0;54542,50;578,75;95,42;;
22023;2019;14;0;99250,00;1130,93;85,93;;
22023;2020;11;0;58054,55;843,18;71,82;;
22023;2021;7;0;109953,57;1107,29;105,00;;
22024;2018;4;0;64450,00;760,00;91,75;;
22024;2019;3;0;62666,67;630,33;95,33;;
22024;2020;3;0;66666,67;904,00;75,33;;
22024;2021;3;0;79666,67;1010,67;76,00;;
22025;2018;32;0;67776,28;807,59;87,44;;
22025;2019;38;1;92354,15;957,64;99,51;;
22025;2020;52;0;79235,96;858,94;95,40;;
22025;2021;70;0;92076,77;1029,13;91,13;;
22026;2018;8;0;128850,00;1427,50;90,75;;
22026;2019;5;0;157340,00;1479,80;105,80;;
22026;2020;8;0;173898,88;1570,75;114,00;;
22026;2021;17;0;159469,71;1695,00;92,53;;
22027;2018;1;0;130000,00;828,00;157,00;;
22027;2019;7;0;64514,29;953,57;65,14;;
22027;2020;9;0;64589,44;750,00;93,78;;
22027;2021;10;0;80100,00;894,50;90,40;;
22028;2018;12;0;173402,50;1435,75;126,42;;
22028;2019;8;0;129275,00;1405,38;93,38;;
22028;2020;7;0;172157,14;1351,57;123,29;;
22028;2021;14;1;168396,67;1607,93;102,20;;
22029;2018;2;0;144750,00;1305,00;112,00;;
22029;2019;1;0;82000,00;562,00;146,00;;
22029;2020;7;0;96928,57;1091,14;87,14;;
22029;2021;8;0;100437,50;1132,63;113,25;;
22030;2018;6;0;142475,00;1079,17;126,17;;
22030;2019;13;0;124891,23;1199,62;106,92;;
22030;2020;6;0;105583,33;1328,50;87,83;;
22030;2021;12;0;187008,33;1887,42;102,33;;
22031;2018;16;0;53481,25;668,00;80,13;;
22031;2019;17;0;73580,59;833,24;94,53;;
22031;2020;7;0;103304,29;940,71;104,00;;
22031;2021;23;1;83726,75;985,13;91,13;;
22032;2018;33;0;103625,21;1267,58;87,97;;
22032;2019;31;0;121062,90;1123,10;107,84;;
22032;2020;37;1;137384,47;1281,79;112,63;;
22032;2021;30;5;110959,57;1329,60;91,14;;
22033;2018;11;0;75384,09;860,00;100,36;;
22033;2019;9;0;97543,33;1150,22;85,22;;
22033;2020;14;0;88346,64;1224,57;78,29;;
22033;2021;16;0;95646,25;1271,38;77,44;;
22034;2018;12;0;112041,67;1098,92;102,50;;
22034;2019;15;0;117300,00;1321,87;99,20;;
22034;2020;21;0;146812,86;1222,14;118,71;;
22034;2021;23;0;191028,26;1859,17;100,22;;
22035;2018;14;0;142021,64;1352,64;102,29;;
22035;2019;13;0;161230,77;1434,23;114,77;;
22035;2020;11;0;145732,55;1604,45;95,73;;
22035;2021;23;0;142151,30;1876,39;80,09;;
22036;2018;3;0;129333,33;1320,33;102,67;;
22036;2019;3;0;86500,00;1331,00;59,67;;
22036;2020;2;0;102750,00;858,00;115,00;;
22036;2021;1;0;187500,00;1705,00;110,00;;
22037;2018;7;0;61700,00;874,29;70,29;;
22037;2019;7;0;55257,14;1036,43;56,57;;
22037;2020;11;0;88581,82;967,36;94,18;;
22037;2021;13;0;72239,23;965,23;78,54;;
22039;2018;7;0;81000,00;810,00;101,29;;
22039;2019;7;0;84285,71;965,86;90,14;;
22039;2020;7;0;80000,00;951,71;86,29;;
22039;2021;12;0;114758,75;959,25;117,08;;
22040;2018;4;0;150000,00;1119,75;136,25;;
22040;2019;4;0;89500,00;822,00;111,00;;
22040;2020;7;0;130900,00;1323,43;88,57;;
22040;2021;12;0;129506,67;1320,08;95,25;;
22041;2018;3;0;181333,33;1192,67;151,00;;
22041;2019;2;0;127500,00;1244,50;100,00;;
22041;2020;4;0;111500,00;1098,00;93,00;;
22041;2021;5;0;155000,00;1342,60;118,80;;
22042;2018;9;0;124927,78;1270,44;96,33;;
22042;2019;12;0;123500,00;1204,25;111,67;;
22042;2020;4;0;116000,00;1145,00;104,50;;
22042;2021;8;0;214045,00;1748,38;118,75;;
22043;2018;3;0;81333,33;814,00;98,33;;
22043;2019;3;0;147964,67;1047,00;136,33;;
22043;2020;6;0;58250,00;771,67;72,67;;
22043;2021;5;0;122799,80;981,60;128,40;;
22044;2018;21;0;170838,10;1564,24;108,38;;
22044;2019;18;0;147652,22;1556,33;96,78;;
22044;2020;21;0;184926,19;1681,14;108,10;;
22044;2021;15;0;224617,33;2075,60;107,87;;
22045;2018;5;0;95620,00;1087,40;82,60;;
22045;2019;4;0;113500,00;1125,00;98,75;;
22045;2020;2;0;100000,00;1423,50;84,00;;
22045;2021;10;0;136650,00;1493,60;87,20;;
22046;2018;101;0;93320,59;974,66;96,37;;
22046;2019;91;1;90091,96;957,02;100,34;;
22046;2020;113;2;85855,24;899,22;97,57;;
22046;2021;144;1;109432,03;1059,65;107,22;;
22047;2018;10;0;73810,00;833,40;91,10;;
22047;2019;20;0;83747,50;846,65;102,70;;
22047;2020;30;0;73703,33;819,77;87,87;;
